dynamical_F_subnet_args_output_dim,dynamical_F_subnet_args_layers_num,solution_u_args_layers_num,dynamical_F_args_hidden_dim,dynamical_F_subnet_args_hidden_dim,spinn_enabled_dynamical_F,model_id,solution_u_args_hidden_dim,dynamical_F_subnet_args_activation,solution_u_subnet_args_hidden_dim,dynamical_F_args_dropout,solution_u_subnet_args_layers_num,dynamical_F_args_layers_num,solution_u_subnet_args_dropout,dynamical_F_subnet_args_dropout,num_params,solution_u_args_dropout,solution_u_subnet_args_activation,spinn_enabled_solution_u,dynamical_F_args_activation,solution_u_args_activation,solution_u_subnet_args_output_dim,mean_MAE,mean_MAPE,mean_RMSE
-1.0,-1.0,-1.0,20.0,-1.0,False,116,-1.0,-1,23.0,0.0,3.0,3.0,0.0,-1.0,17464,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008006023320679864,0.8661893,0.011096258404183499
-1.0,-1.0,-1.0,60.0,-1.0,False,107,-1.0,-1,23.0,0.0,3.0,2.0,0.0,-1.0,18524,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008013878483325243,0.86953264,0.011156000382057845
-1.0,-1.0,-1.0,60.0,-1.0,False,158,-1.0,-1,15.0,0.0,3.0,5.0,0.0,-1.0,20528,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.00809122963498036,0.875904,0.01118443993225367
10.0,2.0,-1.0,-1.0,15.0,True,67,-1.0,leaky-relu,23.0,-1.0,3.0,-1.0,0.0,0.0,22988,-1.0,leaky-relu,True,-1,-1,15.0,0.008095302696650227,0.87803394,0.011237124846530264
-1.0,-1.0,-1.0,60.0,-1.0,False,157,-1.0,-1,15.0,0.0,2.0,5.0,0.0,-1.0,16448,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007828486384823918,0.8486207,0.01125373676807502
5.0,5.0,-1.0,-1.0,8.0,True,39,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,17057,-1.0,leaky-relu,True,-1,-1,10.0,0.008001154599090418,0.8667095,0.011269127223605744
-1.0,-1.0,-1.0,20.0,-1.0,False,112,-1.0,-1,15.0,0.0,2.0,3.0,0.0,-1.0,4408,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.007978262534985939,0.866509,0.011329830060086593
5.0,5.0,5.0,-1.0,8.0,True,237,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,21851,0.0,-1,False,-1,leaky-relu,-1.0,0.008119741532330712,0.88399005,0.011358123961472044
15.0,5.0,-1.0,-1.0,23.0,True,18,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,74483,-1.0,leaky-relu,True,-1,-1,5.0,0.008321373645837108,0.89988494,0.011414473660655558
15.0,5.0,5.0,-1.0,23.0,True,243,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,84326,0.0,-1,False,-1,leaky-relu,-1.0,0.00854471504377822,0.92764443,0.011415243005932161
15.0,2.0,-1.0,-1.0,23.0,True,16,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,16523,-1.0,leaky-relu,True,-1,-1,5.0,0.00843731127679348,0.9145395,0.01143545857288626
15.0,5.0,-1.0,-1.0,23.0,True,45,-1.0,leaky-relu,15.0,-1.0,3.0,-1.0,0.0,0.0,79532,-1.0,leaky-relu,True,-1,-1,10.0,0.008319018098215262,0.90116376,0.01145579876904871
-1.0,-1.0,-1.0,40.0,-1.0,False,98,-1.0,-1,23.0,0.0,3.0,2.0,0.0,-1.0,17784,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008044983027502894,0.87359834,0.011461809658762983
-1.0,-1.0,-1.0,20.0,-1.0,False,113,-1.0,-1,15.0,0.0,3.0,3.0,0.0,-1.0,8488,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008787800868352255,0.95131046,0.011474072342586726
15.0,5.0,-1.0,-1.0,23.0,True,63,-1.0,leaky-relu,23.0,-1.0,2.0,-1.0,0.0,0.0,79124,-1.0,leaky-relu,True,-1,-1,15.0,0.008473144844174385,0.9148698,0.011518578031193926
-1.0,-1.0,-1.0,40.0,-1.0,False,122,-1.0,-1,15.0,0.0,3.0,3.0,0.0,-1.0,10448,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008669531593720118,0.9370434,0.011531205923207942
15.0,3.0,5.0,-1.0,23.0,True,242,60.0,leaky-relu,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,45686,0.0,-1,False,-1,leaky-relu,-1.0,0.008328420265267292,0.90503174,0.011534647882076206
-1.0,-1.0,-1.0,40.0,-1.0,False,94,-1.0,-1,15.0,0.0,2.0,2.0,0.0,-1.0,4728,-1.0,leaky-relu,True,leaky-relu,-1,10.0,0.008215521229431033,0.89166737,0.011552002047346714
10.0,3.0,-1.0,-1.0,15.0,True,23,-1.0,leaky-relu,8.0,-1.0,5.0,-1.0,0.0,0.0,19811,-1.0,leaky-relu,True,-1,-1,5.0,0.00862924630443255,0.93319815,0.01159451233826189
-1.0,-1.0,-1.0,40.0,-1.0,False,97,-1.0,-1,23.0,0.0,2.0,2.0,0.0,-1.0,8400,-1.0,leaky-relu,True,leaky-relu,-1,15.0,0.008269907751431068,0.8960781,0.011670797670854138
-1.0,-1.0,-1.0,40.0,-1.0,False,146,-1.0,-1,8.0,0.0,3.0,5.0,0.0,-1.0,8679,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.009020313465346893,0.9694104,0.011696102499289943
-1.0,-1.0,-1.0,20.0,-1.0,False,83,-1.0,-1,8.0,0.0,3.0,2.0,0.0,-1.0,3019,-1.0,leaky-relu,True,leaky-relu,-1,5.0,0.008402240928262472,0.91210204,0.011699797895499991
10.0,5.0,-1.0,-1.0,15.0,True,15,-1.0,leaky-relu,8.0,-1.0,3.0,-1.0,0.0,0.0,34163,-1.0,leaky-relu,True,-1,-1,5.0,0.008721387557064494,0.94451094,0.011742583753237194
